City_ID,City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
5847411,Kahului,US,1612983839,20.8947,-156.47,40,64,73.4,12.66
5850554,Makakilo City,US,1612983839,21.3469,-158.0858,1,53,73.4,3.44
2295672,Saltpond,GH,1612983839,5.2091,-1.0606,1,79,82.53,12.86
2334008,Kontagora,NG,1612983840,10.3999,5.4695,0,16,84.69,2.1
2071860,Esperance,AU,1612983840,-33.8667,121.9,40,77,59.0,8.05
3386213,Touros,BR,1612983840,-5.1989,-35.4608,40,66,86.0,17.27
128008,Khalkhāl,IR,1612983840,37.6189,48.5258,100,68,38.34,2.66
1633034,Palu,ID,1612983689,-0.8917,119.8707,99,79,76.78,1.74
1508138,Cherlak,RU,1612983841,54.155,74.8055,0,86,-26.45,5.48
3466165,Cidreira,BR,1612983841,-30.1811,-50.2056,37,74,77.32,13.94
4031574,Provideniya,RU,1612983841,64.3833,-173.3,0,79,-15.84,14.38
7117100,Vila,PT,1612983841,42.0304,-8.1588,100,89,48.99,4.07
1529484,Kumul,CN,1612983841,42.8,93.45,99,82,30.4,7.16
2027042,Batagay-Alyta,RU,1612983842,67.8006,130.4114,26,88,-7.87,1.43
1880252,Outram,MY,1612983842,1.2829,103.8379,75,83,78.8,5.75
2126199,Cherskiy,RU,1612983842,68.75,161.3,0,85,-10.35,1.83
1043893,Lichinga,MZ,1612983843,-13.3128,35.2406,75,94,68.0,4.61
610864,Khani,GE,1612983843,41.9563,42.9566,0,66,51.8,2.3
2656708,Ayr,GB,1612983663,55.4627,-4.6339,0,86,28.4,6.91
3466704,Castro,BR,1612983602,-24.7911,-50.0119,57,59,74.43,1.57
2208248,Kaitangata,NZ,1612983843,-46.2817,169.8464,69,53,55.99,17.0
3831208,Qaanaaq,GL,1612983844,77.484,-69.3632,99,71,3.07,11.79
1006984,East London,ZA,1612983844,-33.0153,27.9116,20,88,75.2,10.36
2111704,Namie,JP,1612983844,37.4833,141.0,50,89,35.01,8.93
561999,Garbolovo,RU,1612983844,60.3413,30.4955,100,90,9.0,1.01
4954611,Watertown,US,1612983778,42.3709,-71.1828,75,43,32.0,13.8
2013465,Verkhoyansk,RU,1612983845,67.5447,133.385,1,79,-22.47,1.7
5859699,College,US,1612983834,64.8569,-147.8028,75,65,-5.8,3.44
1507390,Dikson,RU,1612983845,73.5069,80.5464,94,89,-20.83,7.96
2109528,Buala,SB,1612983846,-8.145,159.5921,29,81,80.2,7.7
5991056,Kenora,CA,1612983550,49.8167,-94.4337,75,70,-11.0,8.05
3465749,Conceição do Castelo,BR,1612983730,-20.3683,-41.2439,4,64,78.01,1.74
1806960,Huazhou,CN,1612983846,21.6333,110.5833,7,88,57.99,6.82
1651531,Ambon City,ID,1612983846,-3.6954,128.1814,99,79,81.32,4.61
2012956,Yerbogachën,RU,1612983847,61.2767,108.0108,99,90,-7.83,4.92
1159716,Sarakhs,IR,1612983847,36.5449,61.1577,0,54,57.2,6.91
777019,Vardø,NO,1612983847,70.3705,31.1107,40,63,23.0,26.46
1643837,Gorontalo,ID,1612983847,0.5412,123.0595,100,89,76.42,3.02
2643490,Lowestoft,GB,1612983848,52.4752,1.7516,98,89,28.99,1.01
5780557,Riverton,US,1612983848,40.5219,-111.9391,90,49,48.0,4.03
2173323,Bundaberg,AU,1612983848,-24.85,152.35,7,88,70.0,6.91
3430545,Morón,AR,1612983848,-34.6534,-58.6198,11,67,79.0,4.0
133595,Gerāsh,IR,1612983848,27.6652,54.1371,0,29,59.0,1.74
1052373,Beira,MZ,1612983805,-19.8436,34.8389,70,85,80.02,14.5
2181625,Te Anau,NZ,1612983849,-45.4167,167.7167,100,86,49.48,7.4
6096551,Pangnirtung,CA,1612983849,66.1451,-65.7125,1,61,10.4,2.3
3471451,Arraial do Cabo,BR,1612983611,-22.9661,-42.0278,40,73,78.8,13.8
3418910,Upernavik,GL,1612983825,72.7868,-56.1549,13,92,2.39,11.16
2264557,Ponta do Sol,PT,1612983850,32.6667,-17.1,90,79,61.0,3.0
1254709,Tezu,IN,1612983850,27.9167,96.1667,86,28,62.92,4.41
4033356,Tiarei,PF,1612983850,-17.5333,-149.3333,20,69,82.0,24.16
2022317,Khor,RU,1612983851,47.8861,134.9464,83,93,-2.22,5.26
5354943,Half Moon Bay,US,1612983851,37.4636,-122.4286,90,76,59.0,6.91
5478673,Meadow Lake,US,1612983604,34.8014,-106.5436,75,21,55.99,3.44
4975966,Presque Isle,US,1612983763,46.6811,-68.0159,20,45,21.2,17.27
609919,Quryq,KZ,1612983852,43.2,51.65,0,61,46.53,9.91
1505965,Igrim,RU,1612983852,63.1906,64.4162,0,86,-24.18,3.6
1489853,Tazovsky,RU,1612983852,67.4667,78.7,100,87,-20.18,10.8
2342490,Funtua,NG,1612983852,11.5233,7.3081,0,18,75.42,10.51
2269594,Cascais,PT,1612983599,38.6979,-9.4215,75,94,59.0,9.22
1489822,Tegul'det,RU,1612983853,57.3064,88.1667,100,90,-8.32,6.13
3838859,Río Gallegos,AR,1612983698,-51.6226,-69.2181,0,52,69.8,13.8
986717,Kruisfontein,ZA,1612983813,-34.0033,24.7314,5,84,73.99,3.0
3109527,Santoña,ES,1612983854,43.4439,-3.4576,75,76,54.0,8.05
72181,Marzuq,YE,1612983854,14.4,46.4667,84,36,57.92,0.74
2017155,Saskylakh,RU,1612983855,71.9167,114.0833,0,83,-21.08,9.42
4301317,Morehead,US,1612983855,37.2711,-87.1764,90,93,34.0,4.61
1802276,Longyan,CN,1612983855,25.1072,117.0225,100,81,57.99,1.99
3393922,Nísia Floresta,BR,1612983856,-6.0911,-35.2086,40,66,86.0,17.27
2377457,Nouadhibou,MR,1612983856,20.931,-17.0347,0,68,69.8,17.27
686090,Asău,RO,1612983856,46.4333,26.4,80,67,39.0,0.98
4787440,Staunton,US,1612983597,38.1496,-79.0717,90,75,39.0,5.75
2639996,Portsmouth,GB,1612983662,50.799,-1.0913,15,73,33.01,14.36
1174872,Karachi,PK,1612983625,24.9056,67.0822,99,68,64.4,4.36
2997075,Arrondissement de Lure,FR,1612983857,47.75,6.5,90,93,23.0,4.61
1176995,Havelian,PK,1612983857,34.0536,73.1657,0,68,55.99,1.99
1015776,Bredasdorp,ZA,1612983857,-34.5322,20.0403,71,77,68.0,9.22
2032614,Baruun-Urt,MN,1612983668,46.6806,113.2792,53,91,21.6,11.5
2112309,Katsuura,JP,1612983858,35.1333,140.3,20,57,44.6,10.36
783938,Zelenikovo,MK,1612983858,41.8867,21.5869,75,58,55.4,1.14
286245,Sur,OM,1612983848,22.5667,59.5289,23,71,67.32,3.62
2388614,Boda,CF,1612983858,4.3189,17.4695,47,18,76.44,2.75
3694112,Paita,PE,1612983859,-5.0892,-81.1144,20,51,87.8,10.36
2122614,Ekhabi,RU,1612983859,53.5102,142.9671,100,97,20.61,17.2
5197850,Lewistown,US,1612983859,40.5992,-77.5714,75,59,30.0,3.44
2310046,Bata,GQ,1612983859,1.8639,9.7658,100,80,82.35,4.72
3451138,Rio Grande,BR,1612983639,-32.035,-52.0986,75,78,75.2,12.66
330534,Mīzan Teferī,ET,1612983860,6.9833,35.5833,94,47,69.24,2.33
5134295,Rome,US,1612983860,43.2128,-75.4557,90,58,27.0,9.22
1280849,Kashgar,CN,1612983860,39.4547,75.9797,100,34,46.4,4.47
134602,Fereydūnkenār,IR,1612983860,36.6864,52.5225,100,71,55.47,6.6
1488920,Turochak,RU,1612983861,52.2576,87.1224,100,89,-5.75,4.54
2093967,Kimbe,PG,1612983861,-5.5502,150.1429,100,89,76.03,2.37
5969025,Haines Junction,CA,1612983861,60.7522,-137.5108,0,67,-40.0,1.23
3357114,Grootfontein,NA,1612983861,-19.5667,18.1167,100,94,65.52,6.6
2090021,Namatanai,PG,1612983862,-3.6667,152.4333,86,81,79.43,3.49
6137462,Saint-Augustin,CA,1612983862,51.226,-58.6502,100,95,14.61,13.13
4012593,Creel,MX,1612983862,27.75,-107.6333,0,33,57.72,21.07
2094027,Kieta,PG,1612983862,-6.2167,155.6333,100,82,79.45,6.85
140521,Bījār,IR,1612983862,35.8668,47.6051,100,58,43.05,3.65
3576994,Cockburn Town,TC,1612983862,21.4612,-71.1419,40,65,80.6,11.5
2145554,Ulladulla,AU,1612983863,-35.35,150.4667,40,100,59.0,4.68
2077895,Alice Springs,AU,1612983854,-23.7,133.8833,40,61,87.01,6.91
687726,Zaozyornoye,UA,1612983863,45.1582,33.2787,100,72,48.99,1.99
934479,Grand Gaube,MU,1612983863,-20.0064,57.6608,1,73,80.01,7.0
1623197,Tual,ID,1612983863,-5.6667,132.75,100,78,83.21,15.08
